id,tweet,subtask_b
80561,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,TIN
39907,@USER @USER @USER please don't kill me. antifa on the other hand...,TIN
77294,@USER @USER She is an ugly black hearted troll URL,TIN
16940,@USER Dont believe the hype.,UNT
28841,@USER @USER We have been saved from you! MAGA!,TIN
59998,"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.""",TIN
28812,@USER This all I get 😢 damn these haters deleting you IG for no reason... URL,TIN
64776,@USER SJSHSJ THATS MY JOB BITCH,TIN
69972,@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat,TIN
96789,"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!""",TIN
68629,@USER Let the leftist democrats riot in the streets with their antifa counterparts.,TIN
77319,@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.,TIN
49504,@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!,TIN
31229,@USER This game sucks donkey balls,TIN
88546,@USER Absolutely should be a nail in the coffin.... for Hilliary,TIN
32897,@USER He is a DUMBASS !!!!!,TIN
62072,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL,TIN
95444,@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL,TIN
62481,@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail,TIN
39021,@USER Oh my Carmen. He is SO FRICKING CUTE,TIN
68840,@USER Chelsea is as crazy as her mother,TIN
32916,"@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders"" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP""",TIN
18547,@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!,TIN
82607,@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.,TIN
82339,@USER Yes do hurt your selves gun control freaks.,TIN
34510,@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss,TIN
53501,@USER the owner of my culo,TIN
69928,Now she scarred herself for life lol #MAGA URL,TIN
31853,@USER you fucking -,TIN
13872,Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans,TIN
28985,I'm Assuming I'm Not Going to Get an Answer': Brainless  #Liberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrender America to these #DEM morons @USER #MAGA,TIN
74004,@USER @USER Leftists showing yet again how vile they can be,TIN
70838,@USER He is a drunk crazy man.,TIN
15991,@USER All that money hadn't made u smarter.,TIN
38837,@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉,UNT
16885,@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !,TIN
19514,Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL,TIN
34317,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. They do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. There is no forcing views on others"".""",TIN
36289,#FireMorningJoe he is cut from the same cloth as all other conservatives. His misogyny and bigotry are always on display. He is responsible for Trump. URL,TIN
80570,@USER @USER Truly has got to be the most idiotic thing I've ever seen.,UNT
86477,@USER @USER @USER @USER @USER @USER @USER @USER @USER It does work. If you want to control a population.  Australian gun control had no effect on homicides.,TIN
44015,@USER @USER Liberals ruin everything!,TIN
11411,@USER That's what happens when you let a liberal get a hold of a gun.  That would be a good place to start gun control.  Ban liberals from getting guns.,TIN
10133,@USER @USER You look happy .MAGA,TIN
29497,@USER Yet she is fat herself.,TIN
97300,@USER @USER @USER What a joke! She is a Gem alright!! She is a Racist phony! Right along with this Racist Phony. That thinks she will follow me from her second account. And block me. Because I speak the truth. I could care less about follower's. Like it's a big party. I care that they discriminate URL,TIN
14808,@USER @USER @USER May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens. Don’t believe all the shit that goes on in your head.,TIN
33322,@USER @USER Just looked up his work History he is listed on the Board of Leading Age Services Aust (LASA) and comes from Medicare Local Alliance...what ever the hell that is,UNT
87300,@USER Cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing,TIN
80497,@USER Coming from the man that threatened to try and kick Turmps ass now don't that take a set of ball's,TIN
97277,@USER Getting scared ugly man?,TIN
95200,@USER @USER @USER @USER @USER Bitch.. URL,UNT
77769,&amp; terroism &amp; starvation &amp; Flint &amp; poverty &amp; climate change &amp; global warming &amp; sex trafficking &amp; bullying &amp; body shaming &amp; police brutality &amp; feminism &amp; gun control &amp; marches &amp; protests,TIN
62107,@USER yea your the bitch on the right getting smacked URL,UNT
33096,@USER Hahaha BIG thighs is not going to make it,TIN
81470,"#maga #christineford #trump2020 #tcot #ccot #AmericaFirst #Patriots @USER  #BrettKavanaugh had this to say about Bill Clinton during Whitewater:   It's imperative to make his pattern of revolting behavior clear -- piece by painful piece.""   Indeed. URL",TIN
20322,"#MAGA people are very low IQ. GDP Growth"" means LITERALLY NOTHING. In no way does this translate to higher income for white familes or individuals. All that billions goes to companies or government.   And what jobs did he create? Labour which pays less than living wage lmao? URL",TIN
60130,@USER Bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious,TIN
54559,A bitch built like that could beat my ass all she wants URL,TIN
14285,@USER @USER Very pathetic man !,TIN
42133,@USER @USER @USER @USER @USER @USER You must be talking about hateful conservatives.,TIN
18834,@USER @USER Thats correct!!! #MAGA,TIN
38043,@USER @USER @USER This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @USER  @USER  @USER,TIN
76709,"@USER @USER @USER @USER This is great! Mark The Great One"" Levin and Candace ""The Great"" Owens together! This team is unbeatable! They just sent liberals into a frenzy again! A whole block of liberal voters just had their heads explode! And...sadly, Alyssa Milano just wet her pants again! Great team!""",TIN
22728,@USER #StrataData #AI #data #hairball: @USER TDavis touring the application of #Cognitive and #machinelearning techniques to speed #Governance of #data URL,TIN
11640,@USER @USER @USER @USER I wasn't proposing scare tactics. I really meant what I said. Trump can easily pull the good maga Republicans and can easily steal enough votes from GOP Dem and independents and will bring fresh breath to our rotten politics. Think about it.,TIN
47009,@USER @USER @USER @USER Only a liberal would support a liberal that spent a MILLION to get liberals elected to office. #LibFAIL! URL,TIN
97936,@USER It’s so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘Liberals think all criminals should be free.’  It reveals a pretty brutalist and impenetrable mind.,TIN
12531,@USER What the fuck game are you watching?,UNT
72024,@USER Why? Why are liberals so trashy?,TIN
98547,@USER Yes I saw this and I will say tapper kept basket her and she kept coming back with stupid answers And he finally gave up I don’t think he is a big fan of her policies he’s not that stupid please,TIN
98382,@USER If you go by anything other than he or she you are fucked in the head.,TIN
71577,@USER All you need to know is he is empty inside,TIN
17391,@USER The Liberals are mentally unstable!!,TIN
34443,@USER @USER Who authorized a search warrant of mr Jean home?  Racist what about her drug test. This is premediated murder. He will not be slandered. He is the victim.,TIN
22185,@USER @USER @USER i have heard he is making waves,TIN
77089,#ThursdayThoughts- FUCK liberals. Forever.,TIN
79972,@USER Once again it's been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the #2A. Criminal *don't* care about gun laws.,TIN
30085,@USER @USER Mxm nigger thinks we give a fuck URL,TIN
95773,@USER @USER She is a fake. Vote her out. Now she wants sympathy.,TIN
51053,10kids from different women from this American jobless men? Nigerian men you are the bomb!!!,TIN
14131,@USER This Russian agent is a DISGRACE. Hey old creep @USER you are going to die in prison. You and Trump sold America to the Russians and it’s time you do the time for your years of crimes. Scumbag.,TIN
33709,@USER What insanely ridiculous bullshit.,UNT
53995,@USER We shouldn’t be surprised. These same pigs worked with neonazis to unmask antifa protestors. And the local coverage by shit journos like @USER didn’t cover that AT ALL. We had to rely on @USER for investigative coverage URL,TIN
82171,@USER @USER Because 45% of Americans are too lazy to vote.  Non-voters skew liberal. And too many liberals who do vote throw their vote away on 3rd party losers. Next question?,TIN
50936,"@USER @USER I'm sure he doesn't call his gated community's private security firm Bull Connors"" though. It's funny: Now liberals LOVE privatization of police!""",TIN
97580,@USER @USER Wonder how many children he molested,TIN
54991,@USER @USER Oh you are in England?  Your views on gun control stopped mattering in 1776.,TIN
55051,@USER @USER @USER @USER @USER @USER This is the ANTIFA party &amp; all of a sudden they expect us to believe they care about anyone besides themselves. Nope.,TIN
23159,@USER Ouch!,UNT
58548,@USER @USER Wonder if he apologized to Diamond and Silk for calling them a “minstrel show?”  He should have been fired but there he is making faces.,TIN
41277,@USER Which is why it’s awesome that Kavanaugh didn’t shake that gun control dads hand.  Sorry for kid was killed by a gun but it’s not the future judges fault it happened...... omg white people in cities are silly,TIN
51592,@USER John Podesta is a spirit cooking pedo. Here's a photo of him and Valerie Jarrett in a rather compromising situation.  #MAGA #qanon #DrainTheDeepState #DrainTheSwamp URL,TIN
56068,@USER I love the way this pisses off liberals. URL,TIN
88585,@USER @USER @USER My auto correct Gggrrr she is a *crazy witch*,TIN
14234,"@USER @USER When I turned the speech on it sounded to me like Liberals becoming another nasty party"" with his personal attacks on various individuals.""",TIN
97329,@USER Another negative Democrat who refuses to disappear!,TIN
85409,.@USER As my elected MP could you please explain why @USER is still promoting ideas that the EU have already rejected? We've 6 months to go and nothing appears to be moving onward. @USER are like the blind leading the blind #brexitshambles #BrexitMeansBrexit URL,TIN
14118,@USER So she can’t be effected by the radiation but killed. I hope he mentions Lady Gaga witch. Since she is the only known immortal witch and supreme,TIN
63792,(2020 election season)  Trump: my dick is the most magnificent dick. Just tremendous.   Leftists: prove it you Russian puppet!  Trump: *whips dick out in fit of senility*  Conservatives: *vote Trump to victory*,TIN
82293,@USER @USER @USER @USER Interesting when Demoncraps aren't even inventive enough to create their own cartoons.  This is originally put out by Republicans - liberals are the Koolaide drinkers and always have been. Liberals are also the scum of the earth and prove it daily through their lies,TIN
61533,@USER ajsjjsjdkkdjdk i want him so much he’d literally tell me to die and i’d obey him,TIN
40857,@USER @USER @USER @USER He’s dead. So you are a necrophiliac as well? Good to know...you must suck at chess never mind 3 dimensional chess...you can’t even think one move ahead let alone many...Change your twitter handle to DumbAF not even ish🙄🙄🙄,TIN
23228,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER They get testy and decide you're a paid shill"" a lot, if you end up hanging around QAnon you'll get used to it.""",TIN
78473,@USER @USER @USER Trump is a very sick man. He is toxic and mean spirited.,TIN
30890,#VA10 voters know @USER is the right side of the gun issue. Gun control or gun rights? The answer may help determine whether NRA-financed Rep. Comstock wins reelection URL,TIN
92935,@USER #oshaeterry #ThugLife #Criminal Behaved as an Ordinary Disposable Criminal. #MAGA #MAGA2020 #MAGARallyRules #TexasPolice,TIN
86626,@USER @USER She is full of bunk.,TIN
18702,@USER Hell did they boycott McEnroe.....this is too much!!,TIN
27045,ANTI-ANTIFA IS BALLS,UNT
78567,@USER IM GOING HARDCORE BITCH,TIN
80107,@USER I used to do signifing monkey by heart. Played it for the wife and she is like what the hell?,TIN
84294,@USER I think she is the one mad.  She didnt like being called out so she is trying to make them bully me. 😆,TIN
53037,@USER @USER @USER so she is disgusting to you because she is a Rangers fan! you are disgusting to me because you support breaking up the union!  #proudtobeBritish 🇬🇧,TIN
10605,@USER They should. Hopefully voters will realise that they could have ended this shitshow well before the midterms.,TIN
93419,@USER 2018 charts she is. Overall fuck no. Cardi got ways to go to catch niki,UNT
93280,@USER @USER @USER i think i missed a few replies here (im on a conference call) but most of the anti jihadi muslim vets i know would disagree with gun control. so this seems odd...?,TIN
97831,@USER Look at all these racist white liberals freaking out because I said Tom Arnold has white privileged.,TIN
82366,@USER Hubby rushed me *shakes fist* will flick a pic thru this evening when I feed em again. By the way he is still the boss,TIN
70315,@USER @USER OMG !!!! Really !!! #FrankOz ... Liberals ruins Everything ... #DefundPBS..,TIN
83457,@USER @USER Wow!!! Never thought I'd see the left actually admitting they want to shut down free speech unless it's their own. At least they are admitting they are the  facist. After all they did create the 2 most facist groups...ANTIFA and KKK.,TIN
14877,@USER Rip lmao who knows 😂 that's why I'm trying so hard not to expose my shits since they can't never relate anyway,TIN
63762,@USER Bullshit!!!,UNT
78739,@USER I feel pretty fucked then cuz I started out fine,UNT
33095,@USER Awful,TIN
50390,@USER I don't know anything about the kkk although I believe the democrats fund them like they always did.  I think the Dems main terror group these days is antifa.,TIN
38444,@USER @USER @USER She is absolutely useless. Everyone knows it except for her and the media.,TIN
77647,@USER Does anyone care what that dirtbag says???,TIN
30426,@USER @USER NOT A SNOWBALLS CHANCE IN HELL DIMWIT DEM. Start taking losing like a man.....err...like a....uhm? Whatever you identify as today. WE WILL #MAGA NOT TIRED OF #WINNING SEE YOU IN NOVEMBER FOR THE #REDWAVERISING2018 YOU CAN'T STOP #ScotusKavenaugh,TIN
38806,@USER Hopefully your obesity catches up with you by then,TIN
66497,@USER @USER My Stoned Wheat Crackers! Where the hell did they put the Stoned Wheat Crackers?,UNT
95987,#fordnation #onpoli #Conservatives #Conservative #onpc  Just because you can doesn't mean you should. Great power comes with great responsibility. By invoking art. 33 and overriding our judicial processes you're overriding our democracy.  URL,UNT
36795,@USER       Thank you for your fortitude and perseverance. Please give McConnell a kick in the butt from some of us conservatives.,TIN
21223,@USER YESSSSSHHHHH who else call you shitgull if it were not me or ryme 😚,TIN
25469,@USER She’s one of those ‘kooky’ liberals.,TIN
74815,@USER Like if you didn’t get fired from ESPN,TIN
67895,@USER those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best. Send YOUR kid to one of those schools and we might get some action on gun control. Hypocrite.,TIN
99912,@USER @USER Poor sad liberals. No hope for them.,TIN
69106,I got more common sense than all of my followers  :),TIN
47490,@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing ass... COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This 'shit' never ends... Ooops...,TIN
77519,@USER Even if the devil did make every single one of those priests rape children... Why does the pope refuse to condemn it? Why didn't he remove from leadership the rapist brought to him?,TIN
20232,@USER I didn’t tweet this lol I needa get my Twitter off this shit,TIN
32990,@USER She is.  Ur screwed.  Trump owns scotus and he will exact a wrath upon enemies after the midterms,TIN
64626,@USER Then HAUL YOUR FAT ASS IN HARMS WAY YOU DRUGGIE!!!,TIN
39729,@USER @USER Anyone can say or write anything about themselves. Suppose tomorrow she says that she is a prophet and human race needs to follow her.  What does that tell about her ?  Once I see someone as useless moron I stop giving them any attention. You do the same brother. She is nobody.,TIN
46114,"@USER its so cool that the blind idiot god"" concept is already a real thing from a religion thousands of years old but peopl ehave to make it a fucking cthulhu reference for retard cred""",UNT
93056,@USER @USER He is delirious!,TIN
32139,@USER Rezz is a dumb bitch who will get a rude awakening from BNF in Mexico lol URL,TIN
59690,Alert: Candace Owens Was Just Attacked By Antifa URL,TIN
23311,@USER Another dumbass Democrat. One thing you have to say about this president is he’s not lazy. Another bullshit story as usual,TIN
33600,@USER @USER when robyn posts a selfie the world stops for a moment to appreciate it,TIN
79122,@USER @USER @USER The Democrats are so desperate all those ppl threatening Sen Collins are from CA. They will do anything to delay or halt confirmation and @USER re-election is on the line she is desperate. The ppl &amp; GOP are quite aware of what is going on.,TIN
58576,@USER So it moves forward. Damn the facts as long as you keep up the narrative! The Dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify Conservatives or justify the actions of liberals,TIN
70525,@USER Poor Baby.  This is why you and your entire network CAN NOT be trusted.    The only people still watching CNN are brainwashed liberals and demonrats. URL,TIN
69004,@USER @USER (She is clearly agitated in a defensive stance) Shit- what is she doing here,TIN
28518,@USER Then your gonna get bitten,TIN
77529,@USER Woodword's book is slander.  He is nothing but a Clown Tool!,TIN
42005,@USER How many more??? This country MUST address sensible gun control! This is more than ENOUGH!!!  VOTE BLUE! GET THIS GARBAGE CLEANED OFF OUR STREETS!,UNT
25305,@USER It appears to be paired with a WOO-HOO so he must think he is on his way to a brothel.,TIN
70652,@USER @USER @USER She is mentally unstable.,TIN
60071,@USER Character and Clinton. Cartoon maybe,TIN
12602,@USER @USER @USER @USER @USER @USER @USER @USER @USER I like that they aren't mincing around with her. I do not understand why she is denying doing porn.,TIN
35933,"@USER @USER @USER @USER @USER FEMA has contacted the Senator and was told.its a TV hit you take them when you can"" He Is a liar.  If he had a set... he would put on his big girl panties and tell the truth!""",TIN
66631,@USER But I thought Antifa were actually fascists but this shows Rethuglicans are the actual fascists in the room.,TIN
70446,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So absurd.  The left has been fielding violent feminists and communists in the form of Antifa to attack the very peaceful transition of power for more than two years.    I wonder if it will ever occur to you that you are the bad guys?  I doubt you have the moral fortitude.,TIN
26783,Anyone surprised? @USER  #CloserNation  #MAGA #QAnon URL,TIN
49939,@USER Not if you are from Wisconsin. And it’s a bubbler. And duck duck goose.,TIN
23818,"@USER Good liberals will allow a rapist"" to continue serving on a federal district court while his victim continues to suffer?    But...you said....you said....""",TIN
35823,@USER Then why are you pretending to be something your not???You are a phony and all your lies won't change that!,TIN
36639,@USER She mocked SJWs and the KKK with extremely clever satire. The fact you don’t have a sense of humor or are too stupid to get it is our fault. None of that means you get to denigrate or lie about her or her motives. She is a Native American woman and you are a bigoted misogynist.,TIN
35959,@USER @USER @USER Are you saying he is a turkey chocker 😶,TIN
14239,@USER @USER Such delusional liberals..! So twisted with hate you can't even acknowledge the U.S. Airforce..!!,TIN
34178,@USER @USER She is better than all this shit. She is better than anything. ❤️,UNT
94756,@USER damn what i would do to be able to eat that pussy,TIN
90701,@USER What exactly is it about Willy that anyone with half a brain would consider conservative?   The guy is literally a poster child for Liberals,TIN
20770,@USER @USER Queen Of Rap 😛 Other Bitches can knot relate,TIN
66373,@USER I would be worse than her licking that ass,UNT
77620,@USER So a pathological liar is going to give the Judge a lecture on credibility because the judge won’t admit to something he didn’t do...   and we are the stupid ones.... 😳   And liberals have no shame in the ignorance of their elected representatives.,TIN
83576,@USER @USER @USER We have a stupid problem. Conservatives don’t just hate studies by smart people  (smart people suck) that show data (data schmata) and facts (#fakenews) but just being near one can turn somebody into a nitwit. #cdnpoli,UNT
21734,@USER BITCH,TIN
57625,@USER If Jamie Oliver fucks with my £3 meal deals at Tesco I’ll kill the cunt,TIN
40567,@USER I CARE THAT HE WAS MURDERED. I don't care whether he had some weed in his home (like a whole lot of Americans do) any more than I'd care if you said he had 100 pairs of socks. He is the victim. You are trying to smear the victim. You are despicable.,TIN
32074,@USER @USER @USER I should wash your mouth out with soap for saying that! I have the utmost respect and admiration for our cops. I don’t have that for dirt bags who would break into my home.  Gun control means a steady hand not an empty one. Go talk to Antifa buddies about being a drain,TIN
17811,@USER HE IS A RUSSIAN SPY /HAVE RECEIVED MUCH MONEY FROM PUTIN.,TIN
39492,@USER @USER Well he's a liberal so that explains it. Who knows the shooter may be a liberal as far as he knows. Liberals are very hateful violent people and must be defeated!,TIN
40412,@USER @USER No news. orgs. are giving Faith Goldy the time of day. That's simply wrong. She may not have the experience of the other two useless fools but she cares and she is no one's fool.,TIN
71929,@USER i just gave Beto $100 and you all should as well.  Trump called Ted's wife ugly and he is still licking his boots for help with reelection.,TIN
35524,Was this a threat from @USER #DangerousDemocrats #maga URL,TIN
66579,@USER @USER Liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence.  They imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them.,TIN
58523,@USER Let me borrow yo shit first 🤣,TIN
66864,@USER WOW!  That lie'n bitch is at it again. URL,TIN
24298,@USER Stfu bitch lol why u Salty I’m tryna get twitter famous ya know,TIN
43335,@USER ...@USER is 100% correct and should be applauded for criticizing our inept and corrupt President - not denounced for it.....@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER,TIN
46678,@USER You turn a dull Tuesday night into a super sexy one! So hot! 🔥🔥🔥,TIN
47804,@USER But not as despicable as her own.,TIN
49896,@USER @USER Without question Professor Ford is troubled that's being polite. Half the women in the world (probably more) have been groped at one time or an other  and don't hold on to it for 40 years. This is obviously a political ploy to deter scotus confirmation. @USER #MAGA,TIN
52906,@USER @USER He is both evil and delusional. He eats those high quality paint chips.,TIN
12295,@USER @USER shut that wanker up,TIN
36699,@USER FUCK OFF,UNT
20235,@USER @USER She’ll have a total mental breakdown when he is re-elected!!!!,TIN
90247,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER that is about the saddest existence I have ever been privy to reading. Sucks to be you man,TIN
89795,@USER So... Did Angela hook up with a younger guy so she has someone to wipe her butt when she is 75?,TIN
86958,@USER Good!!! This will surely show us how croocked he is. 😂😂😂,TIN
89600,@USER @USER @USER @USER @USER @USER @USER Exactly Hat @USER  are true Feckers ! I detest them,TIN
67770,@USER still waiting for mine fat,UNT
27161,@USER Sam was singing and they DiDNT tell her to stop singing and she thanked them!! Unbelievable!!! Who the hell is she talking to?! It's bad enough when she is talking to one of the houseguest !! But to keep talking to herself! Wonder what her family think about her going nuts!,TIN
65915,@USER  I think he could be called a turncoat  talking out of both sides of his fucking mouth  Lindsey Graham can no longer be trusted URL,TIN
82618,@USER @USER @USER @USER Oh boo you sound so ignorant with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.,TIN
90997,@USER Sucks,TIN
63005,@USER Fuckkk 😂😂 I know I seen bitch that’s a slapper lmao,TIN
16105,@USER @USER Lefty Pope should also! He is Not worthy rep for true christian roman catholics!! He failed his flock!,TIN
89453,@USER And honestly it’s ridiculous.. you are grocery shopping there is no need to be like That,TIN
22946,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Little known fact Balaam raced donkeys and gambled on races. One day his fastest ass was winning the Jerusalem sweepstakes. And right before the finish the ass lost control running over a Samaritan and two Africans . Local antifa saw the whole thing and blamed the fastest ass!,TIN
75611,@USER @USER @USER if she were a true Krishn bhakt she wouldn't even care about presence or absence of such laws... she would be above such issues... a typical Chandigarh mentality of one up manship she is caged in... call her anything but Krishn bhakt.. like who cares about what she is doing ...,UNT
88594,@USER It's been up since Sunday night. He is a sloth.,TIN
40317,@USER @USER SOME THINGS NEVER CHANGE! In 1991 #SCOTUS Clarence Thomas’s #HighTechLynching by @USER @USER &amp; @USER  #MAGA FIGHT BACK against these lies! #ConfirmKavanaugh  @USER @USER @USER @USER #DJT  #Kavanaugh #MeToo  URL,UNT
53551,@USER @USER Bitch shut up he building his self esteem,TIN
24797,@USER @USER @USER @USER @USER This hand signal is used by ignorant people as a signal of white supremacy and by evil people who get a lot of satisfaction in the idea of pissing off liberals.  We should ignore both because displays of ignorance and hatefulness don’t deserve our time and attention.,UNT
46987,#USA #UK and probably #Europe and #Australia  With their level of intelligence?  Weez all stoopid y'all!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Celebrities URL,TIN
97760,@USER When are the Republicans going to learn that Democrats hate conservatives .Vote  Thursday,TIN
81704,@USER @USER Isn’t that the Amazon bitch from Antifa?,TIN
